countryname,iso3,incomegroup,y2021GGXWDG_NGDP,y2021NGDPDPC,hdi,un_population2020,pop_total,vaccinesdelivered_archive_lag,vaccinesdelivered,total_donations,informcovid19risk,covid19riskclass,gap_percapita,gap_gghe,uhc,che,h7_vaccinationpolicy,e4_internationalsupport,h5_investmentinvaccines,stringencyindex,economicsupportindex,h7_name,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_pe,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,number_vaccines_types_used,first_vaccine_date,deathscumulativetotal,deathsnewlyreportedinlast7days,vaccine_willingness_monthly,v3_vaccinefinancialsupportsummar,v3_name,population,total_boosters,total_boosters_per_hundred,dec40target,dec40target_name,securedvaccineofpopulation,cost_gdp_income40,pricebracket_che40,utilrate_lag,donationsoftotal,deliveredpopulation,casescumulativetotalper100000pop,casesnewlyreportedinlast7daysper,deathscumulativetotalper100000po,deathsnewlyreportedinlast7dayspe
Liberia,LBR,Low Income Economies,56.608,703.4059999999999,.48,5057.677,5057677,6605801,5007355,27000,6.2,High,1.82,17.1,42,52.56287003,5,57500000,0,33.16,0,Universal availability,4460668,3903802,88.196,77.18600000000001,3730967,73.768,,1,01apr2021,294,0,82.99999833106995,5,All eligible groups are fully government-funded,5302690,1987,.04,1,Target reached,127.9813766479492,.7381227911049949,9.877695028899092,67.52652706310711,.5392068267578393,99.00503729281249,159.954856745498,0,5.81294535020722,0
Libya,LBY,Upper Middle Income Economies,,4068.61,.724,6871.287,6871287,6721252,7006920,1031250,4.4,Medium,.8,,60,,5,0,13408000,13.89,0,Universal availability,3739158,2316327,54.417,33.71,1236102,17.989,,10,11apr2021,6437,0,71.8887984752655,5,All eligible groups are fully government-funded,6812344,186729,2.74,0,Target not reached,156.4151763916016,.1903352742091279,,55.63186739613394,14.71759346474628,101.9739096911539,7382.357919266071,0,93.67968475192492,0
Saint Lucia,LCA,Upper Middle Income Economies,95.645,9419.27,.759,183.629,183629,327349,354380,111650,3.8,Medium,5.22,2.4,72,502.18170166,,,,,,,122977,60140,66.971,32.751,54971,29.936,,5,17feb2021,409,0,41.99999868869781,,,179872,7866,4.37,0,Target not reached,172.9491729736328,.0822144391232017,1.542071320878801,37.56755022926601,31.50572831423895,192.9869465062708,16365.60673967619,0,222.7317035980156,0
Liechtenstein,LIE,High Income Economies,,,.919,38.137,38137,,135600,0,1.9,Very Low,,,,,5,0,658643.4,11.11,0,Universal availability,71104,26681,183.5,68.86,26346,67.995,,3,06jan2021,87,0,,5,All eligible groups are fully government-funded,39355,22083,56.11,,Not available,,,,,0,355.560217111991,56297.03437606524,0,228.1249180585783,0
Sri Lanka,LKA,Lower Middle Income Economies,109.25,3665.77,.782,21413.25,21413250,43153693,44128249,3500000,4.3,Medium,,,67,160.69696045,5,135448000,262500000,23.15,0,Universal availability,40116590,17143761,187.345,80.06100000000001,14752827,68.896,,6,29jan2021,16876,4,97.58719801902771,5,All eligible groups are fully government-funded,21832150,8220002,37.65,1,Target reached,259.0326538085938,.1483999268912125,3.385253824818066,92.96212493331683,7.931427326744825,206.0791752769897,3140.532147151881,.1447701773434673,78.81101654349527,.018680022883028
Lesotho,LSO,Lower Middle Income Economies,50.022,1187.51,.527,2142.252,2142252,1924161,2513340,263340,6,High,,,48,124.19363403,5,0,0,11.11,0,Universal availability,1339097,1014073,62.509,47.337,938088,43.79,,3,10mar2021,706,0,,5,All eligible groups are fully government-funded,2305826,177816,7.71,1,Target reached,172.8988189697266,.4581014054618488,4.380256719668838,69.59381257597467,10.47769104060732,117.3223318265078,1609.987993942823,0,32.95597343356431,0
Lithuania,LTU,High Income Economies,47.428,22411.65,.882,2722.291,2722291,8889994,9302126,0,2.8,Low,,,70,1369.97949219,5,331253.5,4732093.5,11.11,100,Universal availability,4532276,1956451,162.2,70.175,1907015,68.252,,5,23dec2020,9687,2,82.57030248641968,5,All eligible groups are fully government-funded,2750058,944354,34.34,1,Target reached,632.3043823242188,.0476180914836703,.7789897630467537,50.98176669185604,0,341.702117811799,48515.42322257246,8.154896004872366,355.8399891855793,.0734675315754267
Luxembourg,LUX,High Income Economies,26.258,131301.6,.916,625.976,625976,1878478,2766490,0,3.1,Low,,,86,6220.741210940001,5,220507,0,11.11,0,Universal availability,1337742,469267,213.7,74.95,462709,73.902,,8,30dec2020,1232,0,77.99630165100098,5,All eligible groups are fully government-funded,647601,459119,70.90000000000001,1,Target reached,632.304443359375,.0081278522120066,.1715551192072075,71.21414251324742,0,441.948253607167,51113.62096949403,0,196.8126573542756,0
Latvia,LVA,High Income Economies,47.552,19538.9,.866,1886.202,1886202,5316095,8759715,201240,3.4,Low,,,72,1166.79785156,5,0,0,0,0,Universal availability,2978080,1344301,156.1,70.468,1304678,68.39100000000001,,9,30dec2020,6368,0,82.17380046844482,5,All eligible groups are fully government-funded,1850654,529562,28.61,1,Target reached,643.0835571289063,.0546192467334394,.9146400111837384,56.02006736147491,2.29733501603648,464.4102275366053,51844.44720130718,0,337.6096515643605,0
"China, Macao Special Administrative Region",MAC,High Income Economies,0,42106.56,,649.342,649342,,,,,,,,,,5,0,52610000,36.11,75,Universal availability,,,,,,,,,,,,51.69849991798401,5,All eligible groups are fully government-funded,695180,481016,69.19,1,Target reached,,.0253452193672435,,,,,,,,
Saint Martin (French Part),MAF,High Income Economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,,,,31816,,,,Not available,,,,,,,,,,
Morocco,MAR,Lower Middle Income Economies,75.788,3470.8,.6860000000000001,36910.558,36910558,61092336,60919753,458000,4.2,Medium,.21,.3,73,174.22377014,5,0,0,24.46,0,Universal availability,55389602,25020168,150.064,67.786,23521989,63.727,,10,28jan2021,16297,0,89.31789994239807,5,All eligible groups are fully government-funded,37457976,6884356,18.38,1,Target reached,261.7522888183594,.1567361991471707,3.122421237715503,90.66538558944612,.7518086949564619,165.0469575669921,3452.074606945796,0,44.15267848294247,0
Monaco,MCO,High Income Economies,,,,39.244,39244,,71655,0,,,,,85,2905.84375,5,0,1224000,13.31,25,Universal availability,71027,25319,181,64.517,24933,63.533,,7,30jun2021,67,0,57.56270289421082,5,All eligible groups are fully government-funded,36491,10598,29.04,1,Target reached,181.3132629394531,,.3672599395614441,,0,182.5884211599225,42819.28447660789,17.8371215982061,170.7267352971155,0
Republic of Moldova,MDA,Upper Middle Income Economies,38.14,4791.63,.75,4033.963,4033963,3213184,2507166,956720,4.4,Medium,,,67,284.30712891,5,584057000,14723949,5.56,0,Universal availability,2287894,1108735,56.7,27.485,1078250,26.729,,7,03mar2021,12118,0,71.71249985694885,5,All eligible groups are fully government-funded,3272993,402330,12.29,0,Target not reached,138.2886505126953,.1616151497507111,2.723814921451173,71.20332978130104,38.15941983897357,62.15143768051418,15383.73058949723,0,300.3993839308888,0
Madagascar,MDG,Low Income Economies,48.821,498.682,.528,27691.019,27691019,6026595,7382480,300000,6.2,High,.79,10.9,35,19.84997559,5,0,0,0,0,Universal availability,2973152,2580188,10.737,9.318,2519918,9.1,,3,10may2021,1425,0,74.92600083351135,5,All eligible groups are fully government-funded,29611718,156776,.53,0,Target not reached,101.0553283691406,1.041144456788093,26.15620344951769,49.33386099447532,4.06367507937712,26.66019621740897,246.610642966949,.0036112791659996,5.146072811549478,0
Maldives,MDV,Upper Middle Income Economies,137.213,11899.09,.74,540.542,540542,1474134,1555160,400000,3.9,Medium,,,69,854.37060547,,,,,,,951764,399308,176.075,73.872,385167,71.255,,8,01feb2021,316,1,90.00120162963867,,,523798,167289,31.94,1,Target reached,401.5691223144531,.0650806070044012,.9063982246603544,64.56427977375191,25.72082615293603,287.7038231996773,34534.22675758776,3.884989510528321,58.45984215842617,.1849995005013486
Mexico,MEX,Upper Middle Income Economies,59.773,9967.389999999999,.779,128932.753,128932753,262869164,274689125,16986900,3.7,Medium,.44,.2,74,540.3723144500001,5,0,0,13.89,0,Universal availability,222226293,96727823,172.358,75.02200000000001,81346379,63.092,,8,24dec2020,334167,10,96.37625217437744,5,All eligible groups are fully government-funded,127504120,57026630,44.73,1,Target reached,246.8016815185547,.0776933580405703,1.43308600254289,84.53874529003333,6.184045327604433,213.0483671592741,5910.881310352537,1.287492868472296,259.179294806495,.0077559811353753
Marshall Islands,MHL,Upper Middle Income Economies,14.442,4338.17,.704,59.194,59194,90947,,,5.4,High,27.61,9.9,62,664.3184814500001,,,,,,,110742,47077,187.083,79.53,40689,68.738,,3,29dec2020,17,0,53.29999923706055,,,41593,,,,Not available,138.6192016601563,.1785084494153064,1.165705940183579,121.7654238182678,,,27166.6047234517,0,28.71912693854107,0
North Macedonia,MKD,Upper Middle Income Economies,52.951,6711.73,.774,2083.38,2083380,2213660,2235581,569440,3.7,Medium,.93,.4,68,436.88717651,,,,,,,1862987,854570,89.40000000000001,41.159,838181,40.37,,7,17feb2021,9677,0,91.16780161857605,,,2093606,161633,7.72,1,Target reached,208.2416687011719,.1153800882931822,1.77254000949665,84.1586783878283,25.47167827960606,107.3054843571504,16716.87354203266,0,464.4855955226603,0
Mali,MLI,Low Income Economies,50.983,966.141,.434,20250.834,20250834,6179551,8365610,1900000,5.8,High,.82,9.1,42,34.28177643,5,0,0,23.69,87.5,Universal availability,5922585,4354292,29.246,21.502,3633589,17.943,,1,31mar2021,743,0,79.76899743080139,5,All eligible groups are fully government-funded,22593598,,,0,Target not reached,127.192268371582,.5373956803406543,15.14507280741869,95.8416719920266,22.71203175859262,41.30995296292488,163.6969618140172,.0098761364593675,3.668984694655045,0
Malta,MLT,High Income Economies,63.016,31996.53,.895,441.539,441539,1365035,1414833,0,4.1,Medium,,,81,2531.91088867,5,0,0,11.11,0,Universal availability,1280134,450522,248.8,87.554,444899,86.461,,4,23dec2020,837,0,96.04460000991821,5,All eligible groups are fully government-funded,533293,464982,87.19,1,Target reached,632.304443359375,.0333536167828199,.421499826386305,93.78030599947986,0,320.4321702046705,26895.9253882443,0,189.5642287544249,0
Myanmar,MMR,Lower Middle Income Economies,58.356,1246.32,.583,54409.794,54409794,72453549,74223122,26036000,4.8,Medium,.74,8.6,61,60.01587296,5,194638.87,0,37.04,0,Universal availability,64549994,34777314,118.637,63.917,27545329,50.626,,2,27jan2021,19494,0,93.08469891548157,5,All eligible groups are fully government-funded,54179312,2227351,4.11,1,Target reached,295.0516052246094,.43648501187496,9.064268720419525,89.09155574973974,35.07801787157377,136.4150027842414,1174.988826460178,.7719198495770817,35.82810844679912,0
Montenegro,MNE,Upper Middle Income Economies,93.404,8837.58,.829,628.062,628062,1059522,1059200,560000,3.7,Medium,1.5,.3,67,735.1588745100001,,,,,,,523735,272152,83.40000000000001,43.763,251583,40.456,,5,24feb2021,2827,0,82.05729722976685,,,627082,101519,16.19,1,Target reached,168.6487274169922,.0876257980125781,1.053377748471247,49.43125296124101,52.87009063444109,168.6457706404782,46467.54619766839,0,450.1147975836781,0
Mongolia,MNG,Lower Middle Income Economies,77.709,4185.54,.737,3278.292,3278292,6311653,6346588,450000,3.8,Medium,,,63,163.44186401,5,0,7827300,11.11,0,Universal availability,5668144,2284018,172.899,69.67100000000001,2185282,66.65900000000001,,6,23feb2021,2136,0,70.99999785423279,5,All eligible groups are fully government-funded,3398373,1044337,30.73,1,Target reached,253.6110229492188,.1299712820806873,3.328400610792814,89.80442999638922,7.090424019961591,193.5943473003625,30809.76313275328,0,65.15587995212141,0
Northern Mariana Islands,MNP,High Income Economies,,,,57.557,57557,,,,,,,,,,,,,,,,123536,46824,214.632,81.352,45953,79.839,,3,19dec2020,41,0,,,,49574,,,,Not available,,,,,,,24210.78235488298,0,71.23373351634032,0
Mozambique,MOZ,Low Income Economies,133.568,492.273,.456,31255.435,31255435,34871173,40147646,2357200,6.2,High,.29,3.7,47,39.46094131,5,30000000,0,12.04,0,Universal availability,29457535,19939353,94.248,63.795,19765811,63.24,,3,08mar2021,2243,0,91.88077449798584,5,All eligible groups are fully government-funded,32969520,1260643,3.82,1,Target reached,215.4117889404297,1.054699323342942,13.15731411273828,84.4753200587775,5.871328047477553,128.4501271538854,746.8045157586192,0,7.176351888879486,0
Mauritania,MRT,Lower Middle Income Economies,55.361,2161.28,.546,4649.66,4649660,7348894,6033409,1335000,5.8,High,,,40,57.88484573,5,0,0,8.33,0,Universal availability,4068530,2101236,87.502,45.191,1538089,33.08,,2,26mar2021,997,0,82.14300274848938,5,All eligible groups are fully government-funded,4736146,383866,8.109999999999999,0,Target not reached,133.801025390625,.2517026946994373,9.39796924634561,55.36248039500909,22.12679432141928,129.7602190267675,1369.584012594469,0,21.44242804850247,0
Montserrat,MSR,Unclassified Economies,,,,4.999,4999,,5082,0,,,,,,,,,,,,,4619,2104,92.398,42.088,1952,39.048,,2,08feb2021,8,0,,,,4413,563,12.76,1,Target reached,,,,,0,101.6603320664133,28065.61312262453,0,160.0320064012803,0
Martinique,MTQ,Unclassified Economies,,,,375.265,375265,,,,,,,,,,,,,,,,401816,150795,107.075,40.184,145536,38.782,,2,,1102,0,79.84960079193115,,,367512,,,,Not available,,,,,,,61283.35975910357,0,293.6591475357414,0
Mauritius,MUS,Upper Middle Income Economies,101.023,8681.610000000001,.804,1271.767,1271767,3839131,2875551,405000,3.7,Medium,.65,.2,65,685.9456176800001,5,50000,0,5.56,0,Universal availability,2615218,1123773,205.636,88.363,1088142,85.56100000000001,,3,26jan2021,1051,0,81.00000023841858,5,All eligible groups are fully government-funded,1299478,640398,49.28,1,Target reached,434.1073608398438,.0892000446921711,1.128952470924983,68.12005112615329,14.08425724322052,226.1067475410197,24137.20437784594,0,82.64092400573375,0
Malawi,MWI,Low Income Economies,59.342,565.798,.483,19129.955,19129955,7106566,10305430,152000,5.8,High,2.27,24,48,30.40028763,5,40000000,37000000,17.59,0,Universal availability,8168028,5234809,42.698,27.364,4092667,21.394,,2,11mar2021,2686,0,87.90000081062317,5,All eligible groups are fully government-funded,20405318,1106940,5.42,0,Target not reached,100.7736206054688,.917641985302175,17.0787857772647,114.9363560403154,1.474950584303615,53.8706442330889,463.472078214507,.0470466344536618,14.04080668250396,0
Malaysia,MYS,Upper Middle Income Economies,70.68000000000001,11124.67,.8100000000000001,32365.998,32365998,84224989,86474076,6415000,3.2,Low,,,76,436.61203003,5,0,0,13.89,75,Universal availability,72628221,28137456,224.397,86.935,27550446,85.122,,8,24feb2021,37087,0,72.44167476892471,5,All eligible groups are fully government-funded,33938216,17162162,50.57,1,Target reached,287.7174682617188,.0696110536312538,1.773657038141597,86.23120271348448,7.418408263766819,267.17568233181,15758.04645356525,0,114.5863013400668,0
Mayotte,MYT,Unclassified Economies,,,,272.813,272813,,,,,,,,,,,,,,,,,,,,,,,,,187,0,,,,326113,,,,Not available,,,,,,,15405.05767687024,0,68.54512065040889,0
Sark,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,Upper Middle Income Economies,69.92100000000001,4693.46,.646,2540.916,2540916,3115938,2082900,581600,5.1,High,.78,.4,62,427.25622559,5,0,1626240,5.56,0,Universal availability,990462,616314,38.981,24.256,538776,21.204,,4,19mar2021,4091,0,53.89999747276306,5,All eligible groups are fully government-funded,2567024,298560,11.63,0,Target not reached,79.48305511474609,.1649955469951805,1.812495532231573,31.78696110127994,27.92260790244371,81.97437459561827,6742.056801562901,0,161.0049289311414,0
New Caledonia,NCL,High Income Economies,,,,285.491,285491,509510,,,,,,,,,,,,,,,480497,192371,168.301,67.381,184801,64.729,,2,20jan2021,314,0,,,,289959,103511,35.7,1,Target reached,,,,94.30570548173736,,,28044.31663344904,0,109.985954023069,0
Niger,NER,Low Income Economies,48.558,622.23,.394,24206.636,24206636,6438514,8737660,625000,6.2,High,1.07,11.9,37,31.39763641,5,0,0,10.55,0,Universal availability,7339299,6217508,30.319,25.685,5454196,22.532,,2,29mar2021,315,0,,5,All eligible groups are fully government-funded,26207982,,,0,Target not reached,132.8941345214844,.8344181412018065,16.53627659165571,113.9905729800386,7.152944838778345,36.09613496067772,39.2991409463091,0,1.301296057824805,0
Norfolk Island,NFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,Lower Middle Income Economies,35.709,2272.84,.539,206139.587,206139587,105129569,139013530,1004800,5.9,High,.18,1.5,44,71.46572876,5,34000000000,298500000,11.11,0,Universal availability,116606863,82325196,56.567,39.937,69793071,33.857,,1,05mar2021,3155,0,86.55728101730347,5,All eligible groups are fully government-funded,218541216,12313372,5.63,0,Target not reached,120.9565963745117,.2393481283328347,7.612040196593946,110.9172843655432,.7228073411271551,67.43660061761936,129.3662240625329,0,1.530516309805161,0
Nicaragua,NIC,Lower Middle Income Economies,49.53,2047.1,.66,6624.554,6624554,13781431,14765007,1954000,4.5,Medium,1.89,1.9,70,160.75878906,5,0,260000000,13.89,0,Universal availability,15498213,6404524,233.951,96.679,6117158,92.34099999999999,,11,03mar2021,245,0,,5,All eligible groups are fully government-funded,6948395,2976531,42.84,1,Target reached,210.1642913818359,.2657417810561282,3.383951839777562,112.4572114463295,13.23399304856408,222.8830348427985,237.5858057765096,.1509535585339028,3.698362184080619,0
Niue,NIU,Unclassified Economies,,,,1.618,1618,,5413,0,,,,,55,1011.71075439,,,,,,,4923,1638,304.265,101.236,1635,101.051,,1,08jun2021,0,0,,,,1952,1225,62.76,1,Target reached,,,,,0,334.548825710754,50494.43757725587,618.0469715698393,0,0
Netherlands,NLD,High Income Economies,58.059,57714.88,.944,17134.873,17134873,51986390,52981426,0,2.5,Low,,,86,5335.30126953,5,540164027.7,261627134.64,11.11,50,Universal availability,36105753,12776868,207.4,73.398,11957152,68.68899999999999,,6,06jan2021,22992,0,85.92008948326111,5,All eligible groups are fully government-funded,17564020,9417108,53.62,1,Target reached,632.304443359375,.0184908987075777,.2000261927278218,69.45231819328097,0,309.2023267403266,50250.57378598604,0,134.1824943785694,0
Norway,NOR,High Income Economies,42.7,82244.23,.957,5421.242,5421242,16527516,22998435,0,1.8,Very Low,,,86,8007.397949219999,5,233438898.7,694263420,11.11,0,Universal availability,12333824,4347099,229.8,80.988,4062092,75.678,,4,23dec2020,5528,0,91.56225025653839,5,All eligible groups are fully government-funded,5434324,3743839,68.89,1,Target reached,298.9226989746094,.0129759862789159,.1332767531684816,74.62599945448548,0,424.2281565737151,27394.12850413245,2.010609376965647,101.969253540056,0
Nepal,NPL,Lower Middle Income Economies,46.669,1172.64,.602,29136.808,29136808,60308339,68368383,9142000,5.2,High,.38,2.8,53,53.24640273999999,5,1000000,0,32.44,75,Universal availability,62032595,27801458,212.901,95.417,24379336,83.672,,8,27jan2021,12031,0,97.1605122089386,5,All eligible groups are fully government-funded,30547586,9851801,32.25,1,Target reached,241.9122161865234,.4639104925637877,10.21665261888826,102.8590673007923,13.37167795821645,234.6460978155191,3443.58929090654,.0514812741327053,41.29141393937181,0
Nauru,NRU,High Income Economies,28.236,10138.2,,10.834,10834,22865,46276,22850,5,High,,,54,1049.44702148,,,,,,,32157,13106,296.816,120.971,11346,104.726,,2,09apr2021,1,0,,,,12691,7705,60.71,1,Target reached,330.359619140625,.105265234459766,1.016916507605085,140.6385305051388,49.37764716051517,427.1367915820565,49778.47517075872,0,9.230201218386561,0
New Zealand,NZL,High Income Economies,51.966,48348.99,.931,4822.233,4822233,12180283,13617002,0,2.1,Low,,,86,4211.04638672,5,0,23870000,11.11,25,Universal availability,12252378,4241210,254.081,87.95099999999999,4084115,84.693,,4,19feb2021,2942,0,93.93005967140198,5,All eligible groups are fully government-funded,5185289,3568079,68.81,1,Target reached,722.551025390625,.0220728499188918,.2534286972866253,100.5918992194188,0,282.3795946815511,47839.72487434763,0,61.00908023316169,0
Oman,OMN,High Income Economies,68.196,17632.65,.8129999999999999,5106.622,5106622,9011891,7794655,200000,3,Low,,,69,624.7444458,5,0,0,11.11,0,Universal availability,7086050,3257365,138.762,63.787,3048826,59.703,,11,29dec2020,4628,0,98.8552987575531,1,Full cost to everyone eligible,4576300,779859,17.04,1,Target reached,149.3090362548828,.0605240845817276,1.708218467846361,78.63000118399124,2.565860836688731,152.6381823444148,7822.176773608855,0,90.62742454796928,0
Pakistan,PAK,Lower Middle Income Economies,83.416,,.5570000000000001,220892.331,220892331,314086344,367028293,3220000,5.3,High,.34,2.4,45,39.49928665,5,363749935.5,300000000,40.54,75,Universal availability,338958481,165551403,153.45,74.947,140451320,63.584,,11,03feb2021,30656,0,97.00281023979187,5,All eligible groups are fully government-funded,235824864,51177750,21.7,1,Target reached,143.3131561279297,,13.77240062131603,107.9188851967407,.8773165615327644,166.1571007641728,715.5662638192722,0,13.87825456013681,0
Panama,PAN,Upper Middle Income Economies,62.19,13861.06,.8149999999999999,4314.768,4314768,9607935,9910843,503100,3.8,Medium,.11,0,77,1192.82080078,5,0,0,20.37,0,Universal availability,8901881,3533579,206.312,81.895,3174229,73.56699999999999,,2,20jan2021,8624,1,94.26800012588501,5,All eligible groups are fully government-funded,4408582,2033783,46.13,1,Target reached,297.8023071289063,.0558687430831408,.6492173841147056,92.65134495601812,5.076258396990045,229.6958492322183,24108.59633704523,36.8038327900828,199.8716964620114,.0231762171222184
Pitcairn,PCN,,,,,,,,,,,,,,,,,,,,,,117,47,234,94,47,94,,1,17may2021,0,0,,,,47,23,48.94,1,Target reached,,,,,,,,,,
Peru,PER,Upper Middle Income Economies,35.002,6676.52,.777,32971.846,32971846,90240557,96965132,3035100,4.3,Medium,.16,.1,78,370.10995483,5,0,23757005,11.11,0,Universal availability,89593907,30487563,271.728,92.465,28654963,86.907,,4,09feb2021,220673,0,,5,All eligible groups are fully government-funded,34049588,30566591,89.77,1,Target reached,471.6490173339844,.1159885688951729,2.092351178059233,99.28341532732338,3.130094228098405,294.0846320827775,13670.3386276886,0,669.27705533988,0
Philippines,PHL,Lower Middle Income Economies,59.114,3492.07,.718,109581.085,109581085,235597128,251342200,31715850,4.7,Medium,.41,1,55,142.07876587,5,0,1857847000,25.41,0,Universal availability,189317158,82684774,172.764,75.455,78443972,71.58499999999999,,11,01mar2021,66476,10,95.30160129070282,5,All eligible groups are fully government-funded,115559008,23811248,20.61,1,Target reached,289.9390869140625,.1557815278616981,3.828862086947968,80.3563097764078,12.61859329631077,229.3664093579654,3785.690751282486,6.265679884443561,60.66375415063649,.0091256625173952
Palau,PLW,High Income Economies,,11835.18,.826,18.092,18092,6224,6200,6200,3.8,Medium,,,59,2355.695800779999,,,,,,,51032,18573,282.069,102.659,18278,101.028,,3,03jan2021,9,0,,,,18084,,,,Not available,271.7948608398438,.0901718436052515,.4530296312650543,819.9228791773779,100,34.26929029405262,33213.57506080035,0,49.74574397523767,0
Papua New Guinea,PNG,Lower Middle Income Economies,45.482,2951.98,.555,8947.027,8947027,1179999,1323680,218480,5.7,High,,,33,65.08071898999999,5,0,0,5.56,0,Universal availability,532983,390289,5.957,4.362,329329,3.681,,4,30mar2021,670,0,38.99999856948853,5,All eligible groups are fully government-funded,10142625,34483,.34,0,Target not reached,102.3958740234375,.1842830913488574,8.358850492779414,45.16808912549926,16.5054998186873,14.79463513410656,523.7941050138778,0,7.488521047270787,0
Poland,POL,High Income Economies,55.507,17318.5,.88,37846.605,37846605,104043798,105449730,0,3.1,Low,,,74,1014.03820801,5,0,518361020,9.26,0,Universal availability,58206296,22982713,153.3,60.548,22703730,59.813,,5,23dec2020,119617,7,78.73474359512329,5,All eligible groups are fully government-funded,39857144,15375532,38.58,1,Target reached,632.304443359375,.0616219649507752,1.052425827320972,55.9440323391501,0,278.624013963736,17220.1363900408,.75303980370234,316.0574112261853,.0184957144768996
Puerto Rico,PRI,High Income Economies,52.361,34143.27,,2860.84,2860840,,,,,,,,,,5,0,0,0,0,Universal availability,7846764,2905470,274.281,101.56,2688410,93.97199999999999,,4,,5938,0,95.68049907684326,5,All eligible groups are fully government-funded,3252412,,,,Not available,,.0312565258102109,,,,,43788.29294892409,113.3932691097719,207.5614155283064,0
Democratic People's Republic of Korea,PRK,Low Income Economies,,,,25778.815,25778815,,,,4.8,Medium,3.11,,68,,,,,,,,,,,,,,,,,0,0,,,,26069416,,,,Not available,99.99999237060547,,,,,,0,0,0,0
Portugal,PRT,High Income Economies,130.787,24457.14,.864,10196.707,10196707,35113905,35536190,0,2.8,Low,,,84,2221.43920898,5,0,242461000,11.11,0,Universal availability,27771091,9786666,269.7,95.215,8901440,86.456,,12,23dec2020,26804,39,95.28753757476807,5,All eligible groups are fully government-funded,10270857,7052751,68.67,1,Target reached,632.304443359375,.043635519116299,.4804092750708301,79.08858613133458,0,348.5065325501654,54822.08128565428,14.04374961445886,262.8691792360024,.382476421064173
Paraguay,PRY,Upper Middle Income Economies,38.415,5028.22,.728,7132.53,7132530,11033777,10751480,3382000,3.6,Medium,.43,.3,61,388.39324951,5,0,7000000,11.11,0,Universal availability,9784169,3995915,137.177,56.024,3547736,49.74,,8,22feb2021,19880,0,87.37984895706177,5,All eligible groups are fully government-funded,6780745,2204922,32.52,1,Target reached,163.7085571289063,.1540107632522045,1.993855457006498,88.67470314109121,31.45613441126245,150.7386579516665,10315.54020803277,0,278.7229776811313,0
State of Palestine,PSE,Lower Middle Income Economies,,,.708,,,6396832,6337600,2173700,5,High,.9399999999999999,,,,5,1000000,0,5.56,0,Universal availability,3748571,2012767,73.48099999999999,39.455,1776973,34.833,,10,02feb2021,5708,0,76.80950164794922,5,All eligible groups are fully government-funded,5250076,336967,6.42,0,Target not reached,259.3028564453125,,,58.60042908739827,34.29847260792729,,,,,
French Polynesia,PYF,High Income Economies,,,,280.904,280904,,,,,,,,,,,,,,,,480028,190908,170.884,67.961,186803,66.5,,2,18jan2021,649,0,,,,306292,112237,36.64,1,Target reached,,,,,,,27977.52968985845,0,231.0397858343064,0
Qatar,QAT,High Income Economies,59.012,61790.57,.848,2881.06,2881060,8834651,8367527,0,3.3,Low,,,74,1807.15393066,5,0,0,11.11,0,Universal availability,7609178,2852178,264.111,98.998,2852178,98.998,,10,,690,0,98.41880202293396,5,All eligible groups are fully government-funded,2695131,1904822,70.68000000000001,1,Target reached,276.54248046875,.0172712438160062,.590541835918893,86.12878992050733,0,290.4322367461975,17826.07790188333,5.449383213122948,23.94951857996709,0
Réunion,REU,Unclassified Economies,,,,895.308,895308,,,,,,,,,,,,,,,,,,,,,,,,,921,0,,,,974062,,,,Not available,,,,,,,55243.00017424172,0,102.8696269887011,0
Romania,ROU,Upper Middle Income Economies,51.121,14863.89,.828,19237.682,19237682,26622032,26901835,0,3.6,Medium,,,71,738.5581665000001,5,0,808365.1799999996,11.11,37.5,Universal availability,16110007,8187839,83.3,42.361,8142015,42.124,,4,27jan2021,68193,9,77.05790996551514,5,All eligible groups are fully government-funded,19659270,,,1,Target reached,632.304443359375,.0520994167744783,1.04852946609453,60.51381427232903,0,139.8392748149179,17700.708432544,5.244914642003127,354.4761785749448,.0467831831298594
Russian Federation,RUS,Upper Middle Income Economies,17.935,11273.24,.824,145934.46,145934460,192764373,204240026,0,3.2,Low,,,75,653.41723633,5,1000000,312789295,11.11,0,Universal availability,186678610,88798804,127.9,60.848,79701705,54.615,,2,,399226,169,69.40267086029053,5,All eligible groups are fully government-funded,144713312,20416895,14.11,1,Target reached,200,.0686936497404473,1.185153921481342,96.8429005291346,0,139.953254358155,15721.0695815094,9.119847361616989,273.5652703275155,.1158054101820776
